School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
HALDANE CENTRAL SCHOOL DISTRICT,HALDANE JUNIOR SENIOR HIGH SCHOOL,Putnam,Public School,61,No,2,0,0,61,Yes,10/22/2016,53,8,Yes,Yes,11/01/2016,www.haldaneschool.org,480401040002,15 CRAIGSIDE DR,COLD SPRING,NY,10516,11/02/2016,11/02/2016,"(41.41131, -73.717443)","15 CRAIGSIDE DR
COLD SPRING, NY 10516
(41.42275348800007, -73.95590050999994)"
HEWLETT WOODMERE PUBLIC SCHOOLS,WOODMERE EDUCATIONAL CENTER (LEAD ONLY),Nassau,Public School,14,No,0,0,0,14,Yes,10/10/2016,14,0,Yes,Yes,12/12/2016,www.hewlett-woodmere.net,280214030004,1 JOHNSON PLACE,WOODMERE,NY,11598,10/12/2018,10/12/2018,"(40.715749, -73.601185)","1 JOHNSON PLACE
WOODMERE, NY 11598
(40.633188173000065, -73.70548058699995)"
NIAGARA WHEATFIELD CENT SCH,NIAGARA WHEATFIELD S H S,Niagara,Public School,19,No,0,0,0,19,Yes,08/03/2017,16,3,Yes,Yes,08/23/2017,http://www.nwcsd.k12.ny.us,400701060010,2292 SAUNDERS STLMNT,SANBORN,NY,14132,10/25/2018,10/11/2018,"(43.134634, -78.856419)","2292 SAUNDERS STLMNT
SANBORN, NY 14132
(43.141034700000034, -78.88123489999998)"
LEWISTON PORTER CENTRAL SCHOOL,LEWISTON PORTER S H S,Niagara,Public School,26,This school has one or more lead-free buildings,0,0,0,26,Yes,09/14/2016,23,3,Yes,Yes,10/26/2016,www.lew-port.com,400301060006,4061 CREEK RD,YOUNGSTOWN,NY,14174,11/29/2016,11/29/2016,"(43.134634, -78.856419)","4061 CREEK RD
YOUNGSTOWN, NY 14174
(43.21674810900004, -79.01770280599999)"
ITHACA CITY SCHOOLS,CAYUGA HEIGHTS SCHOOL,Tompkins,Public School,40,No,0,0,0,40,Yes,08/14/2018,40,0,Yes,Yes,08/14/2018,http://www.ithacacityschools.org/districtpage.cfm?pageid=601,610600010003,110 E UPLAND RD,ITHACA,NY,14850,10/31/2018,10/31/2018,"(42.461024, -76.478784)","110 E UPLAND RD
ITHACA, NY 14850
(42.46513937000003, -76.48920752699996)"
MEXICO CENTRAL SCHOOL,MEXICO HIGH SCHOOL,Oswego,Public School,177,No,38,3,0,139,Yes,10/29/2016,,,No,No,,http://www.mexicocsd.org/Page/616,460901060003,338 MAIN ST,MEXICO,NY,13114,12/01/2016,,"(43.39123, -76.31133)","338 MAIN ST
MEXICO, NY 13114
(43.459708557000056, -76.23237263099998)"
NORTH BABYLON UNION FREE SCHOOL,NORTH BABYLON HIGH SCHOOL,Suffolk,Public School,295,No,108,0,0,128,Yes,10/20/2016,294,1,Yes,Yes,10/26/2016,http://www.northbabylonschools.net,580103030008,PHELPS LN,NO BABYLON,NY,11703,10/19/2018,10/19/2018,"(40.820237, -73.119032)","PHELPS LN
NO BABYLON, NY 11703
(40.72430654000004, -73.33018554099993)"
LAKELAND CENTRAL SCHOOL DISTRICT,WALTER PANAS H S,Westchester,Public School,164,No,0,0,0,164,Yes,10/28/2016,2,0,Yes,Yes,08/23/2018,lakelandschools.org,662401060010,WALTER PANAS H S,CORTLANDT MANOR,NY,10567,01/09/2017,10/11/2018,"(41.039278, -73.805386)","WALTER PANAS H S
CORTLANDT MANOR, NY 10567
(41.27850004600003, -73.85876008199995)"
FREWSBURG CENTRAL SCHOOL DISTRICT,ROBERT JACKSON ES,Chautauqua,Public School,119,No,0,0,0,119,Yes,10/13/2016,106,13,Yes,Yes,12/07/2016,www.frewsburgcsd.org,060301040002,135 IVORY ST,FREWSBURG,NY,14738,12/16/2016,12/14/2016,"(42.246904, -79.315313)","135 IVORY ST
FREWSBURG, NY 14738
(42.059773000000064, -79.15092102099999)"
GARDEN CITY UNION FREE SCHOOL,HEMLOCK SCHOOL,Nassau,Public School,3,No,2,0,0,0,Yes,09/30/2016,3,0,Yes,Yes,05/24/2017,www.gardencity.k12.ny.us,280218030001,78 BAYBERRY AVE,GARDEN CITY,NY,11530,10/29/2018,10/29/2018,"(40.715749, -73.601185)","78 BAYBERRY AVE
GARDEN CITY, NY 11530
(40.73936828400008, -73.62590733499997)"
HORSEHEADS CENTRAL SCHOOL DISTRICT,RIDGE ROAD SCHOOL,Chemung,Public School,60,No,6,0,0,60,Yes,09/15/2016,60,0,No,Yes,02/24/2017,www.horseheadsdistrict.com,070901060004,112 RIDGE RD,HORSEHEADS,NY,14845,11/08/2016,02/27/2017,"(42.116644, -76.812331)","112 RIDGE RD
HORSEHEADS, NY 14845
(42.18911163900003, -76.81518543399994)"
NISKAYUNA CENTRAL SCHOOL,CRAIG SCHOOL,Schenectady,Public School,79,No,30,0,0,49,Yes,09/28/2016,76,3,Yes,Yes,11/06/2016,http://www.niskayunaschools.org/StudentServices/water-testing.cfm,530301060002,2566 BALLTOWN RD,SCHENECTADY,NY,12309,11/08/2016,11/09/2016,"(42.809233, -73.946838)","2566 BALLTOWN RD
SCHENECTADY, NY 12309
(42.832323692000045, -73.89175260999997)"
HARPURSVILLE CENTRAL SCHOOL DISTRICT,HARPURSVILLE JSHS,Broome,Public School,114,No,5,0,0,114,Yes,10/08/2016,111,3,Yes,Yes,12/10/2016,hcs.stier.org,030501040003,54 MAIN ST,HARPURSVILLE,NY,13787,10/11/2018,10/11/2018,"(42.122015, -75.933191)","54 MAIN ST
HARPURSVILLE, NY 13787
(42.18178817800003, -75.62248218099995)"
HORSEHEADS CENTRAL SCHOOL DISTRICT,CENTER STREET SCHOOL,Chemung,Public School,72,No,6,0,0,72,Yes,09/30/2016,72,0,Yes,Yes,10/17/2017,WWW.horseheadsdistrict.com,070901060003,812 CENTER ST,HORSEHEADS,NY,14845,10/24/2018,10/11/2018,"(42.116644, -76.812331)","812 CENTER ST
HORSEHEADS, NY 14845
(42.16085245600004, -76.82285754899993)"
GENESEE VALLEY CENTRAL SCHOOL,GENESEE VALLEY ELEMENTARY/MIDDLE/HIGH SCHOOL,Allegany,Public School,153,This school has one or more lead-free buildings,0,0,0,153,Yes,02/03/2017,148,5,Yes,Yes,02/03/2017,http://genvalley.org,020702040001,1 JAGUAR DR,BELMONT,NY,14813,11/02/2018,11/02/2018,"(42.226801, -78.020567)","1 JAGUAR DR
BELMONT, NY 14813
(42.234628472000054, -78.03209393099996)"
FRONTIER CENTRAL SCHOOL,FRONTIER SHS,Erie,Public School,262,No,0,0,0,262,Yes,10/04/2016,246,16,Yes,Yes,06/08/2017,frontiercsd.org,141604060008,S 4432 BAY VIEW RD,HAMBURG,NY,14075,12/28/2016,09/27/2018,"(42.888143, -78.795544)","S 4432 BAY VIEW RD
HAMBURG, NY 14075
(42.768125068000074, -78.83079897699997)"
NORTH SYRACUSE CENTRAL SCHOOL,LAKESHORE ROAD ELEMENTARY SCHOOL,Onondaga,Public School,127,No,38,0,0,89,Yes,09/28/2016,100,27,Yes,Yes,11/15/2016,nscsd.org,420303060004,7180 LAKESHORE RD,CICERO,NY,13039,10/22/2018,11/15/2016,"(43.065629, -76.168033)","7180 LAKESHORE RD
CICERO, NY 13039
(43.18939760200004, -76.02883424499998)"
HYDE PARK CENTRAL SCHOOL DISTRICT,RALPH R SMITH SCHOOL,Dutchess,Public School,77,No,0,0,0,77,Yes,09/23/2016,75,2,Yes,Yes,11/09/2016,www.hpcsd.org,130801060003,16 Smith Court,HYDE PARK,NY,12538,11/07/2016,11/16/2016,"(41.686216, -73.840468)","16 Smith Court
HYDE PARK, NY 12538
(41.77521248200003, -73.90804137099997)"
KENMORE-TONAWANDA UNION FREE SCHOOL DISTRICT,KENMORE EAST S H S,Erie,Public School,268,No,0,0,0,268,Yes,10/07/2016,248,20,Yes,Yes,11/02/2016,ktufsd.org/watertesting,142601030025,350 FRIES RD,TONAWANDA,NY,14150,10/25/2016,11/07/2016,"(42.888143, -78.795544)","350 FRIES RD
TONAWANDA, NY 14150
(42.99043528300007, -78.83311051499999)"
NEWFIELD CENTRAL SCHOOL,NEWFIELD MS,Tompkins,Public School,5,No,5,0,0,0,Yes,05/11/2016,5,0,Yes,Yes,06/15/2016,http://www.newfieldschools.org/districtpage.cfm?pageid=69,610901040004,247 MAIN ST,NEWFIELD,NY,14867,10/27/2016,10/27/2016,"(42.461024, -76.478784)","247 MAIN ST
NEWFIELD, NY 14867
(42.36024853600003, -76.59659347399997)"
NEW ROCHELLE CITY SCHOOLS,NEW ROCHELLE S H S,Westchester,Public School,632,No,0,0,0,632,Yes,10/29/2016,342,290,Yes,Yes,11/14/2016,http://www.nred.org/groups/17137/health__safety/lead_in_schools_water_situation,661100010016,265 CLOVE RD,NEW ROCHELLE,NY,10801,12/11/2016,12/11/2016,"(41.039278, -73.805386)","265 CLOVE RD
NEW ROCHELLE, NY 10801
(40.92856783500008, -73.79392060099997)"
GREENBURGH CENTRAL SCHOOL,WOODLAND S H S (and JHS for lead reporting),Westchester,Public School,206,No,40,0,0,166,Yes,10/12/2016,18,3,Yes,Yes,04/09/2016,greenburghcsd.org,660407060004,475 W HARTSDALE AVE,HARTSDALE,NY,10530,11/10/2016,11/06/2018,"(41.039278, -73.805386)","475 W HARTSDALE AVE
HARTSDALE, NY 10530
(41.031354090000036, -73.80887648499998)"
HAUPPAUGE UNION FREE SCHOOLS,HAUPPAUGE H S,Suffolk,Public School,357,No,26,0,0,331,Yes,08/30/2018,357,0,Yes,Yes,08/30/2018,http://www.hauppauge.k12.ny.us/Page/7819,580506030007,500 LINCOLN BLVD,HAUPPAUGE,NY,11788,09/27/2018,09/27/2018,"(40.820237, -73.119032)","500 LINCOLN BLVD
HAUPPAUGE, NY 11788
(40.82146959900007, -73.19953004599995)"
ISLAND TREES UNION FREE SCHOOL,RICHARD N SEGERDAHL MIDDLE SCHOOL,Nassau,Public School,23,No,18,0,0,0,Yes,06/02/2016,18,5,Yes,Yes,06/02/2016,www.islandtrees.org,280226030002,ISLAND TREES 2,LEVITTOWN,NY,11756,11/08/2016,11/08/2016,"(40.715749, -73.601185)","ISLAND TREES 2
LEVITTOWN, NY 11756
(40.72180000000003, -73.49430999999998)"
MT PLEASANT CENTRAL SCHOOL,WESTLAKE H S,Westchester,Public School,54,No,0,0,0,54,Yes,10/03/2016,54,0,Yes,Yes,10/19/2016,http://www.mtplcsd.org/groups/7862/facilities/home,660801060006,WESTLAKE DR,THORNWOOD,NY,10594,10/09/2018,10/09/2018,"(41.039278, -73.805386)","WESTLAKE DR
THORNWOOD, NY 10594
(41.113430710000046, -73.76326989499995)"
MIDDLE COUNTRY CENTRAL SCHOOL DISTRICT,SELDEN J H S,Suffolk,Public School,26,No,24,0,0,2,Yes,04/12/2017,26,0,Yes,Yes,06/27/2017,www.middlecountry.k12.ny.us,580211060011,22 JEFFERSON AVE,CENTEREACH,NY,11720,10/10/2018,10/10/2018,"(40.820237, -73.119032)","22 JEFFERSON AVE
CENTEREACH, NY 11720
(40.876645557000074, -73.06408159499995)"
NIAGARA FALLS CITY SCHOOLS,LASALLE PREP SCHOOL,Niagara,Public School,77,No,0,0,0,77,Yes,10/15/2016,71,3,Yes,Yes,11/23/2018,nfschools.net,400800010041,7436 BUFFALO AVE,NIAGARA FALLS,NY,14304,11/07/2016,11/29/2018,"(43.134634, -78.856419)","7436 BUFFALO AVE
NIAGARA FALLS, NY 14304
(43.07382166100007, -78.97897235399995)"
MIDDLE COUNTRY CENTRAL SCHOOL DISTRICT,HAWKINS PATH SCHOOL,Suffolk,Public School,25,No,16,0,0,9,Yes,10/20/2016,25,0,Yes,Yes,12/01/2016,www.middlecountry.k12.ny.us,580211060002,HAWKINS PATH,SELDEN,NY,11784,10/10/2018,10/10/2018,"(40.820237, -73.119032)","HAWKINS PATH
SELDEN, NY 11784
(40.88025080300008, -73.04357469699994)"
HAWTHORNE-CEDAR KNOLLS UFSD,LINDEN HILL SCHOOL,Westchester,Public School,29,No,0,0,0,29,Yes,10/10/2018,29,0,Yes,Yes,11/09/2016,http://www.hcks.org/,660803020003,226 LINDA AVE,HAWTHORNE,NY,10532,10/29/2018,09/26/2018,"(41.039278, -73.805386)","226 LINDA AVE
HAWTHORNE, NY 10532
(41.10315129000003, -73.78707990699996)"
FREEPORT UNION FREE SCHOOL,FREEPORT H S,Nassau,Public School,27,No,27,0,0,0,Yes,12/22/2016,27,0,Yes,Yes,12/22/2016,Freeportschools.org,280209030007,50 S BROOKSIDE AVE,FREEPORT,NY,11520,10/05/2018,10/05/2018,"(40.715749, -73.601185)","50 S BROOKSIDE AVE
FREEPORT, NY 11520
(40.65564842800006, -73.60113899199996)"
MASSENA CENTRAL SCHOOL,JEFFERSON ELEM SCHOOL,Saint Lawrence,Public School,138,No,92,0,0,46,Yes,10/28/2016,137,1,Yes,Yes,12/27/2016,http://www.mcs.k12.ny.us/,512001060001,75 BAYLEY RD,MASSENA,NY,13662,12/27/2016,10/29/2018,"(44.689468, -75.242045)","75 BAYLEY RD
MASSENA, NY 13662
(44.931004442000074, -74.86769246399996)"
FILLMORE CENTRAL SCHOOL DISTRICT,FILLMORE MIDDLE SCHOOL,Allegany,Public School,26,No,0,0,0,26,Yes,09/30/2016,25,1,Yes,Yes,12/09/2016,fillmorecsd.org,022001040004,104 WEST MAIN STREET,FILLMORE,NY,14735,09/26/2018,12/13/2016,"(42.226801, -78.020567)","104 WEST MAIN STREET
FILLMORE, NY 14735
(42.46624755600004, -78.11880873199993)"
GANANDA CENTRAL SCHOOL,GANANDA MIDDLE SCHOOL,Wayne,Public School,76,No,76,0,0,76,Yes,10/18/2016,60,16,Yes,Yes,11/16/2016,www.gananda.org,650902040003,1500 DAYSPRING RIDGE,WALWORTH,NY,14568,10/28/2016,11/17/2016,"(43.144336, -77.117995)","1500 DAYSPRING RIDGE
WALWORTH, NY 14568
(43.12471955500007, -77.30760194899995)"
HEMPSTEAD UNION FREE SCHOOL,ALBERTA G. SCHULTZ MIDDLE SCHOOL,Nassau,Public School,96,No,0,0,0,96,Yes,12/22/2016,89,7,Yes,Yes,12/22/2016,www.hempsteadschools.org,280201030010,70 GREENWICH ST,HEMPSTEAD,NY,11550,12/23/2016,12/23/2016,"(40.715749, -73.601185)","70 GREENWICH ST
HEMPSTEAD, NY 11550
(40.70333522400006, -73.62033721899996)"
NEWFANE CENTRAL SCHOOL,NEWFANE S H S,Niagara,Public School,125,No,34,0,0,125,Yes,09/17/2016,125,0,Yes,Yes,09/28/2016,www.newfane.wnyric.org,400601060006,1 PANTHER DR,NEWFANE,NY,14108,10/22/2018,10/09/2018,"(43.134634, -78.856419)","1 PANTHER DR
NEWFANE, NY 14108
(43.28666251800007, -78.69541413399998)"
LIVERPOOL CENTRAL SCHOOL,NATE PERRY ELEM. SCHOOL,Onondaga,Public School,59,No,0,0,0,59,Yes,12/14/2016,59,0,No,Yes,01/03/2017,www.liverpool.k12.ny.us,421501060001,7053 BUCKLEY RD,LIVERPOOL,NY,13088,01/24/2017,01/24/2017,"(43.065629, -76.168033)","7053 BUCKLEY RD
LIVERPOOL, NY 13088
(43.112760894000075, -76.15987904799994)"
GERMANTOWN CENTRAL SCHOOL DISTRICT,GERMANTOWN ELEMENTARY SCHOOL,Columbia,Public School,60,No,41,0,0,60,Yes,09/18/2018,41,19,Yes,Yes,09/19/2018,www.germantowncsd.org,100902040003,123 MAIN ST,GERMANTOWN,NY,12526,10/12/2018,10/12/2018,"(42.276913, -73.682168)","123 MAIN ST
GERMANTOWN, NY 12526
(42.13347547300003, -73.88943224399998)"
GARRISON UNION FREE SCHOOL,GARRISON SCHOOL,Putnam,Public School,59,No,6,0,0,59,Yes,11/29/2016,42,17,Yes,Yes,12/21/2016,www.gufs.org,480404020001,RT 9 D,GARRISON,NY,10524,01/17/2017,10/05/2018,"(41.41131, -73.717443)","RT 9 D
GARRISON, NY 10524
(41.369430985000065, -73.94764402899995)"
MAMARONECK UNION FREE SCHOOL,MAMARONECK H.S.,Westchester,Public School,261,No,98,0,0,279,Yes,11/20/2017,261,0,Yes,Yes,11/20/2017,Mamkschools.org,660701030006,1000 W. Boston Post Road,MAMARONECK,NY,10543,10/11/2018,11/02/2018,"(41.039278, -73.805386)","1000 W. Boston Post Road
MAMARONECK, NY 10543
(40.940847663000056, -73.74259322599994)"
LANCASTER CENTRAL SCHOOL,COMO PARK ELEM SCHOOL,Erie,Public School,76,No,0,0,0,76,Yes,02/22/2017,66,10,Yes,Yes,03/14/2017,www.lancasterschools.org/drinking_water_safety,141901060004,1985 COMO PARK BLVD,LANCASTER,NY,14086,09/24/2018,09/24/2018,"(42.888143, -78.795544)","1985 COMO PARK BLVD
LANCASTER, NY 14086
(42.89269252100007, -78.67419099899996)"
LIVERPOOL CENTRAL SCHOOL,SOULE ROAD ELEMENTARY,Onondaga,Public School,15,No,0,0,0,15,Yes,11/15/2016,15,0,No,Yes,12/01/2016,www.liverpool.k12.ny.us,421501060013,8338 SOULE RD,LIVERPOOL,NY,13090,01/24/2017,01/24/2017,"(43.065629, -76.168033)","8338 SOULE RD
LIVERPOOL, NY 13090
(43.17338099600005, -76.22612406799993)"
NIAGARA FALLS CITY SCHOOLS,NIAGARA FALLS HS,Niagara,Public School,378,No,0,0,0,378,Yes,10/15/2016,342,13,Yes,Yes,11/23/2018,nfschools.net,400800010034,4455 PORTER RD,NIAGARA FALLS,NY,14305,11/07/2016,11/29/2018,"(43.134634, -78.856419)","4455 PORTER RD
NIAGARA FALLS, NY 14305
(43.10708047900005, -79.01146994899995)"
LEVITTOWN UNION FREE SCHOOL,EAST BROADWAY SCHOOL,Nassau,Public School,24,No,24,0,0,0,Yes,05/02/2017,24,0,Yes,Yes,08/30/2017,http://www.levittownschools.com/,280205030001,751 SEAMAN NECK RD,SEAFORD,NY,11783,10/11/2018,10/11/2018,"(40.715749, -73.601185)","751 SEAMAN NECK RD
SEAFORD, NY 11783
(40.70531847600006, -73.49217396199998)"
HALF HOLLOW HILLS CENTRAL SCH,HALF HOLLOW HILLS H S-WEST,Suffolk,Public School,49,No,48,0,0,1,Yes,01/26/2017,49,0,Yes,Yes,08/22/2017,www.halfhollowhills.k12.ny.us,580405060016,375 WOLF HILL RD,DIX HILLS,NY,11746,10/10/2018,10/10/2018,"(40.820237, -73.119032)","375 WOLF HILL RD
DIX HILLS, NY 11746
(40.80935792100007, -73.37150886799998)"
MILLER PLACE UNION FREE SCHOOL,ANDREW MULLER PRIMARY SCHOOL,Suffolk,Public School,45,No,44,0,0,1,Yes,12/20/2016,45,0,Yes,Yes,01/05/2017,www.millerplace.k12.ny.us,580208020002,65 LOWER ROCKY POINT RD,MILLER PLACE,NY,11764,10/12/2018,10/12/2018,"(40.820237, -73.119032)","65 LOWER ROCKY POINT RD
MILLER PLACE, NY 11764
(40.962225283000066, -72.99000670199996)"
NEWBURGH ENLARGED CITY SCHOOL DISTRICT,GARDNERTOWN FUNDEMENTAL MAGNET SCHOOL,Orange,Public School,74,No,0,0,0,74,Yes,11/18/2016,71,3,Yes,Yes,11/22/2016,newburghschools.org,441600010005,6 PLATTEKILL TPKE,NEWBURGH,NY,12550,12/22/2016,12/12/2016,"(41.422459, -74.241929)","6 PLATTEKILL TPKE
NEWBURGH, NY 12550
(41.532169010000075, -74.06197745599997)"
NANUET UNION FREE SCHOOL,GEORGE W MILLER ELEM SCHOOL,Rockland,Public School,89,No,46,0,0,43,Yes,09/22/2016,83,6,Yes,Yes,10/11/2016,www.nanuetsd.org,500108030002,50 BLAUVELT RD,NANUET,NY,10954,11/10/2016,11/10/2016,"(41.127287, -74.017033)","50 BLAUVELT RD
NANUET, NY 10954
(41.08564778600004, -74.00606616599998)"
HORNELL CITY SCHOOLS,NORTH HORNELL SCHOOL,Steuben,Public School,74,No,4,0,0,74,Yes,09/30/2016,71,3,Yes,Yes,12/21/2016,www.hornellcityschools.com,571800010007,AVONDALE AVE,HORNELL,NY,14843,11/10/2016,12/22/2016,"(42.270053, -77.324618)","AVONDALE AVE
HORNELL, NY 14843
(42.35076000000004, -77.66292367599993)"
MOUNT MARKHAM CENTRAL SCHOOL DISTRICT,MOUNT MARKHAM S H S,Herkimer,Public School,32,No,0,0,0,32,Yes,01/26/2018,32,0,Yes,Yes,09/05/2018,www.mmcsd.org,212001040003,MOUNT MARKHAM S H S,WEST WINFIELD,NY,13491,11/06/2018,11/06/2018,"(43.070026, -74.994246)","MOUNT MARKHAM S H S
WEST WINFIELD, NY 13491
(42.83492853700005, -75.22158739699995)"
MILLER PLACE UNION FREE SCHOOL,MILLER PLACE H S,Suffolk,Public School,47,No,43,0,0,4,Yes,12/20/2016,47,0,Yes,Yes,01/05/2017,www.millerplace.k12.ny.us,580208020003,15 MEMORIAL DR,MILLER PLACE,NY,11764,10/12/2018,10/12/2018,"(40.820237, -73.119032)","15 MEMORIAL DR
MILLER PLACE, NY 11764
(40.93436922200004, -72.98878700099993)"
NEW ROCHELLE CITY SCHOOLS,COLUMBUS ELEM SCHOOL,Westchester,Public School,103,No,27,0,0,76,Yes,09/28/2016,95,8,Yes,Yes,10/10/2016,http://www.nred.org/groups/17137/health__safety/lead_in_schools_water_situation,661100010002,275 WASHINGTON AVE,NEW ROCHELLE,NY,10801,12/13/2016,12/13/2016,"(41.039278, -73.805386)","275 WASHINGTON AVE
NEW ROCHELLE, NY 10801
(40.909756180000045, -73.79815532399994)"
HOMER CENTRAL SCHOOL DISTRICT,HOMER ES,Cortland,Public School,132,No,27,0,0,105,Yes,09/22/2016,126,6,Yes,Yes,10/25/2016,http://www.homercentral.org/districtpage.cfm?pageid=956,110701060002,9 PARK PLACE,HOMER,NY,13077,10/31/2016,11/10/2016,"(42.597101, -76.143291)","9 PARK PLACE
HOMER, NY 13077
(42.63316390700004, -76.18734353899998)"
HOMER CENTRAL SCHOOL DISTRICT,HOMER INTERMEDIATE SCHOOL,Cortland,Public School,93,No,2,0,0,91,Yes,09/28/2016,91,2,Yes,Yes,12/01/2016,http://www.homercentral.org/districtpage.cfm?pageid=956,110701060003,58 CLINTON ST,HOMER,NY,13077,11/01/2018,11/02/2018,"(42.597101, -76.143291)","58 CLINTON ST
HOMER, NY 13077
(42.64319269100008, -76.18542354899995)"
LANSING CENTRAL SCHOOL,LANSING HIGH SCHOOL,Tompkins,Public School,80,No,21,0,0,59,Yes,10/21/2016,64,16,Yes,Yes,12/15/2016,http://www.lansingschools.org,610801040002,300 RIDGE RD,LANSING,NY,14882,10/15/2018,10/15/2018,"(42.461024, -76.478784)","300 RIDGE RD
LANSING, NY 14882
(42.542936231000056, -76.53129688799999)"
MATTITUCK-CUTCHOGUE U F S,MATTITUCK J S H S,Suffolk,Public School,12,No,10,0,0,2,Yes,10/13/2016,12,0,Yes,Yes,12/22/2016,mufsd.com,581012020001,15125 MAIN RD,MATTITUCK,NY,11952,10/31/2018,10/31/2018,"(40.820237, -73.119032)","15125 MAIN RD
MATTITUCK, NY 11952
(40.99493827800006, -72.52697286899996)"
FONDA FULTONVILLE CENTRAL SCHOOL,FONDA FULTONVILLE K-4 SCHOOL,Montgomery,Public School,89,No,0,0,0,89,Yes,09/27/2016,89,0,Yes,Yes,10/31/2016,www.fondafultonvilleschools.org,270601040001,CEMETERY ST,FONDA,NY,12068,10/10/2018,10/10/2018,"(42.933637, -74.341972)","CEMETERY ST
FONDA, NY 12068
(42.95629709100007, -74.36837935799997)"
FRONTIER CENTRAL SCHOOL,PINEHURST ES,Erie,Public School,120,No,0,0,0,120,Yes,09/26/2016,114,6,Yes,Yes,03/01/2017,frontiercsd.org,141604060006,6050 FAIRWAY CT,LAKEVIEW,NY,14085,12/28/2016,09/27/2018,"(42.888143, -78.795544)","6050 FAIRWAY CT
LAKEVIEW, NY 14085
(42.72188739500007, -78.93848682199996)"
LONG BEACH CITY SCHOOLS,WEST ELEM SCHOOL,Nassau,Public School,24,No,19,0,0,5,Yes,11/08/2016,24,0,Yes,Yes,04/21/2017,www.lbeach.org,280300010004,MARYLAND AVE,LONG BEACH,NY,11561,10/15/2018,10/15/2018,"(40.715749, -73.601185)","MARYLAND AVE
LONG BEACH, NY 11561
(40.58636958000005, -73.69590863199994)"
GUILDERLAND CENTRAL SCHOOL DISTRICT,GUILDERLAND MS,Albany,Public School,142,No,0,0,0,142,Yes,10/19/2016,113,32,Yes,Yes,12/19/2016,https://www.guilderlandschools.org/water-testing-results-in-gcsd-schools/,010802060008,6072 STATE FARM RD,GUILDERLAND,NY,12084,11/30/2018,11/13/2018,"(42.678066, -73.814233)","6072 STATE FARM RD
GUILDERLAND, NY 12084
(42.69198285700003, -73.89514424899994)"
HAMBURG CENTRAL SCHOOL,ARMOR ELEMENTARY SCHOOL,Erie,Public School,117,No,0,0,0,117,Yes,09/27/2016,83,34,Yes,Yes,09/27/2016,hamburg central school district,141601060001,5301 ABBOTT RD,HAMBURG,NY,14075,12/02/2016,11/07/2016,"(42.888143, -78.795544)","5301 ABBOTT RD
HAMBURG, NY 14075
(42.74248148700008, -78.79823045799998)"
LAURENS CENTRAL SCHOOL,LAURENS CENTRAL SCHOOL,Otsego,Public School,75,This school has one or more lead-free buildings,0,0,0,75,Yes,09/20/2016,75,0,No,Yes,01/10/2017,www.laurenscs.org,470801040001,55 MAIN STREET,LAURENS,NY,13796,12/14/2016,07/11/2018,"(42.564852, -75.060334)","55 MAIN STREET
LAURENS, NY 13796
(42.531060473000025, -75.08841584399994)"
HICKSVILLE UNION FREE SCHOOL,BURNS AVENUE SCHOOL,Nassau,Public School,31,No,30,0,0,0,Yes,04/08/2016,30,1,Yes,Yes,09/01/2016,www.hicksvillepublicschools.org,280517030001,BURNS AVE,HICKSVILLE,NY,11801,10/31/2016,10/31/2016,"(40.715749, -73.601185)","BURNS AVE
HICKSVILLE, NY 11801
(40.77169352400006, -73.53647201599995)"
NORTH SYRACUSE CENTRAL SCHOOL,CICERO-NO SYRACUSE H S,Onondaga,Public School,207,No,44,0,0,163,Yes,10/24/2016,132,75,Yes,Yes,01/04/2017,nscsd.org,420303060014,6002 RT 31,CICERO,NY,13039,10/22/2018,10/22/2018,"(43.065629, -76.168033)","6002 RT 31
CICERO, NY 13039
(43.17610253500004, -76.10438993399998)"
LOCKPORT CITY SCHOOLS,JOHN E POUND ELEM SCHOOL (LEAD ONLY),Niagara,Public School,32,No,0,0,0,32,Yes,09/22/2016,30,2,Yes,Yes,10/06/2016,www.lockportschools.org,400400010006,51 HIGH ST,LOCKPORT,NY,14094,10/19/2018,10/19/2018,"(43.134634, -78.856419)","51 HIGH ST
LOCKPORT, NY 14094
(43.16466853900005, -78.69493277699996)"
LIVERPOOL CENTRAL SCHOOL,CHESTNUT HILL MIDDLE SCHOOL,Onondaga,Public School,62,No,0,0,0,62,Yes,03/14/2018,62,0,No,Yes,03/14/2018,www.liverpool.k12.ny.us,421501060002,204 SASLON PARK DR.,LIVERPOOL,NY,13088,10/10/2018,09/04/2018,"(43.065629, -76.168033)","204 SASLON PARK DR.
LIVERPOOL, NY 13088
(43.094113320000076, -76.18223070099998)"
ISLAND TREES UNION FREE SCHOOL,J FRED SPARKE SCHOOL,Nassau,Public School,29,No,25,0,0,0,Yes,06/02/2016,25,4,Yes,Yes,06/02/2016,www.islandtrees.org,280226030004,100 ROBIN PLACE,LEVITTOWN,NY,11756,11/08/2016,11/08/2016,"(40.715749, -73.601185)","100 ROBIN PLACE
LEVITTOWN, NY 11756
(40.730541050000056, -73.50485964099994)"
